2025-07-02 17:05:05.866138,Muted
2025-07-02 17:05:29.266628,Unmuted
2025-07-03 12:51:43.628080,Muted
2025-07-03 12:52:22.930955,Next track
2025-07-03 12:53:15.534784,Paused
2025-07-03 12:53:40.408353,Next track
2025-07-03 12:54:28.600785,Previous track
2025-07-03 12:54:53.240583,Liked
2025-07-03 13:34:06.214269,Muted
2025-07-03 13:34:31.219069,Unmuted
2025-07-03 13:34:46.574742,Paused
2025-07-03 13:34:57.046775,Muted
2025-07-03 13:35:06.606220,Paused
2025-07-03 13:35:18.054259,Unmuted
2025-07-03 13:35:26.737618,Muted
2025-07-03 13:35:37.965765,Next track
2025-07-03 13:35:50.524203,Unmuted
2025-07-03 13:35:59.977699,Repeat on
2025-07-03 13:36:12.304161,Muted
2025-07-03 13:36:22.044324,Paused
2025-07-03 13:36:33.496743,Unmuted
2025-07-03 13:36:43.651009,Paused
2025-07-03 13:37:01.695741,Next track
2025-07-03 13:37:16.523260,Next track
2025-07-03 13:37:36.099880,Shuffle on
2025-07-03 13:37:48.216696,Repeat on
2025-07-03 13:37:59.028165,Liked
2025-07-03 13:38:13.771617,Previous track
2025-07-03 13:38:27.866874,Muted
2025-07-03 13:38:38.816484,Paused
2025-07-03 13:38:49.971023,Unmuted
2025-07-03 13:38:59.781003,Muted
2025-07-03 13:39:09.864838,Unmuted
2025-07-03 13:39:19.765161,Muted
2025-07-03 13:39:29.496352,Unmuted
2025-07-03 13:39:40.052870,Muted
2025-07-03 13:39:49.940239,Unmuted
